ID,Posted at,Screen name,Text
511641111086252032,2014-09-15 22:22:01 +0000,NickeyGstar,Had to take time out to say what a complete cock faced cunting piece of shit douche prick wanking asshole @kanyewest is #thatisall
511637538298429440,2014-09-15 22:07:49 +0000,moespaws16,"@kanyewest is a huge douche. People pay to watch you perform. Sitting, standing, or wheelchair bound. it doesn't matter"
511636362593075200,2014-09-15 22:03:09 +0000,Rob1829,@justinbieber thinks @kanyewest is an entitled douche. #getoveryourself
511635938619822080,2014-09-15 22:01:28 +0000,mad_mike880,@kanyewest why are you a fuckin douche? wtf is wrong with you?  Get help u piece of shit!
511633590258397184,2014-09-15 21:52:08 +0000,traceowns,@kanyewest wins douche of the year
511633128121962500,2014-09-15 21:50:18 +0000,Lobokicksazz,so @kanyewest stopped a concert until a person in a wheel chair stood up and says he was the victim. what a fucking douche bag.
511631553521541120,2014-09-15 21:44:02 +0000,HammerOfThor84,RT @AniMiaOfficial: Further proof @kanyewest is a PoS. Makes me want to go to his concert and sit the whole time. What a cocky douche. http://t.co/rqoF5JDjhW
511631260989407232,2014-09-15 21:42:52 +0000,bwtatz99,@WashTimes @kanyewest Awww poor megalomaniac got called out for being a dick and now he doesn't like it. Sorry #KanyeWest you're a #douche
511630624877076480,2014-09-15 21:40:21 +0000,fknirwin,RT @itsbecritchie: Don't believe what you read. @kanyewest isn't the douche they make him out to be. Seriously inspiring concert in Brisbane.  #fuckthemedia
511629900315623424,2014-09-15 21:37:28 +0000,LDHorvath,@KanyeWest you are a douche!!  No doubt about it.  Feel sorry for North with you as a father.
511628240595980288,2014-09-15 21:30:52 +0000,AdamBlack312,You really don't have to fake a story to make @kanyewest look like a complete douche bag.
511626846807797760,2014-09-15 21:25:20 +0000,klf822,@kanyewest u douche. Smooth move at your concert over the wknd.
511624713580199936,2014-09-15 21:16:51 +0000,NoWayJose420,@kanyewest how tf are yu the victim???? Smh douche
511624270313967616,2014-09-15 21:15:06 +0000,ZiggyBKNY,@thedailybeast @kanyewest what a Douche Bag move.
511622915188867073,2014-09-15 21:09:43 +0000,EMT_Fire_Life,.@kanyewest you are a douche.
511621347706159104,2014-09-15 21:03:29 +0000,NotJustSports,Could @kanyewest be any more of a douche? He was trying to set a new record at a recent show: http://t.co/6Amyw4k94R
511619917473275904,2014-09-15 20:57:48 +0000,ginaderke87,@TMZ @kanyewest  he seems like such a douche. I wish he'd show a nicer side more often. Why does he think he has a level of power close2God?
511619014460985344,2014-09-15 20:54:13 +0000,JakeCambron,"@justinbieber & @kanyewest should do a duet called ""Douche Boys."""
511610403177381888,2014-09-15 20:20:00 +0000,robspalace,@kanyewest your a douche bag making disabled people stand. i'm disabled and i wont stand up to your ass. your  being a BULLY dumb ass .
511600628850622465,2014-09-15 19:41:09 +0000,AuntieSmel,The award for biggest douche bag goes to......@kanyewest! http://t.co/68b1vvqDej
511597160526135296,2014-09-15 19:27:22 +0000,nine8102,What the fuck does #yeezus even mean? @kanyewest is a douche. Good thing I'm not his target demo...
511593244116156417,2014-09-15 19:11:49 +0000,LarryTIII,@kanyewest just thought I would remind you that you're a douche bag. have an awful day.   #thisguysagayfish
511592796885909504,2014-09-15 19:10:02 +0000,JudisGingerman,@kanyewest you're a fucking douche
511589082930380800,2014-09-15 18:55:16 +0000,yzf38mxguy,"New lyrics I wrote
Douche, douche, douche, douche, douche, kanye, douche, douche, douche, douche, kanyedouche, douche! @kanyewest #igotmore"
511588444838330368,2014-09-15 18:52:44 +0000,TheGreekBrah,Kanye told a guy in a wheelchair to stand up at one of his concerts wowwww @kanyewest fuck you douche http://t.co/wtbTJ6WqWP
511588129346973696,2014-09-15 18:51:29 +0000,verrildd,@lashamblin I'm truly shocked.  @kanyewest is a douche?  Who knew?
511584091020730368,2014-09-15 18:35:26 +0000,prophecy033,@kanyewest when did you turn into such a douche? Was it before or after your music started to suck? #fuckyourself
511579940857606144,2014-09-15 18:18:57 +0000,ZackFraser,@kanyewest demands everyone stand up at his concert for him - or he won't perform next song. Signals out kid in wheelchair. #douche #Kanye
511577825510703104,2014-09-15 18:10:32 +0000,Daniellemizell,@kanyewest you're A Douche bag
511577522090541056,2014-09-15 18:09:20 +0000,Zombighoul,Kanye  Stops Concert Because Someone In a Wheelchair Wouldn’t Stand Up. « X107.5 http://t.co/FJuVEUFssU via @fresh1027ny @kanyewest #douche
511576812359811076,2014-09-15 18:06:31 +0000,jOstcrOix,@BarackObama  you were right about @kanyewest . He is a douche.
511576507442294784,2014-09-15 18:05:18 +0000,amccarten24,"LMFAO douche“@fox5newsdc: .@kanyewest stops concert to yell at kid in wheelchair, ‘Stand Up!’ http://t.co/eOKKr980zR http://t.co/CUGeBpB8Oq”"
511575421742501888,2014-09-15 18:00:59 +0000,EmelyWeselowski,@kanyewest You can go park your douche canoe somewhere else. There's no special parking for you here.
511573429695553536,2014-09-15 17:53:04 +0000,angeleyze31,@kanyewest ......Super Douche Bag
511572561038417920,2014-09-15 17:49:37 +0000,PriZumBajadali,I hope @kanyewest 's attitude and ego changes in time for his daughter not to witness how big of an a*hole he is! #KanyeWest #douche #YEEZUS
511570095748161536,2014-09-15 17:39:50 +0000,TbdBigDog,@kanyewest So how many passes di you get to see douche bag?
511569559477030914,2014-09-15 17:37:42 +0000,tferlito1,"@kanyewest douche bag, over privileged, waste of air. #hopeyouseethis #bitch"
511562672798982144,2014-09-15 17:10:20 +0000,batteryjackson,".@kanyewest doesn't care about disabled people.  let me translate that into a language he can understand, ""waaaaaaaaaaaaaaa you're a douche"""
511559380802605056,2014-09-15 16:57:15 +0000,4ev3r_lost,@kanyewest is a total douche...not wanting to perform unless every1 is standing n throwing a fit about it...really? Loser
511555327670886400,2014-09-15 16:41:09 +0000,kathygarfield,@mashable @kanyewest is what you call a douche turd sandwich
511552974145871873,2014-09-15 16:31:47 +0000,Kristopherson89,@kanyewest is the biggest douche of all time!! hands down... #WhatAFAG
511552864574263296,2014-09-15 16:31:21 +0000,mindfungus1,RT @AniMiaOfficial: Further proof @kanyewest is a PoS. Makes me want to go to his concert and sit the whole time. What a cocky douche. http://t.co/rqoF5JDjhW
511552230282235904,2014-09-15 16:28:50 +0000,realsupa_FLAVOR,: why are you such a douche now @kanyewest? You used to be so lovely.
511547866540937217,2014-09-15 16:11:30 +0000,KimLoescher,My favorite part of the Australian @kanyewest  video is where it shows lots of empty seats #douche
511544279085219840,2014-09-15 15:57:14 +0000,DNA_DMT,@kanyewest verbally abuses paraplegics and can't rap himself out of a wet paper bag. What a douche!
511540432694968320,2014-09-15 15:41:57 +0000,JQ316,"""Watch: @kanyewest demands a wheelchair-bound fan ""stand up"" during concert. http://t.co/GTnVA0bDDG http://t.co/h5wmBueM3C"" douche monster!"
511540065341026304,2014-09-15 15:40:30 +0000,seniordonkey,RT @AniMiaOfficial: Further proof @kanyewest is a PoS. Makes me want to go to his concert and sit the whole time. What a cocky douche. http://t.co/rqoF5JDjhW
511539685764911104,2014-09-15 15:38:59 +0000,ssnake,RT @AniMiaOfficial: Further proof @kanyewest is a PoS. Makes me want to go to his concert and sit the whole time. What a cocky douche. http://t.co/rqoF5JDjhW
511533734999232512,2014-09-15 15:15:20 +0000,MissMCizzle,"@officialellenk Well, @kanyewest is a douche, I mean, c'mon, the video that's up on @TMZ is just awkward."
511531425607479296,2014-09-15 15:06:10 +0000,StarvnZombie,"No ""handicaps"" for douche @KanyeWest #StarvingZombie #RIPZombie

http://t.co/NNv3NlNSEr"
511530613791158272,2014-09-15 15:02:56 +0000,bigboowacker,@kanyewest you are a douche sir.
511528755400298497,2014-09-15 14:55:33 +0000,MasonH99,@kanyewest is officially a 100% douche bag.... #getoveryourself #YoureNotThatTalented
511528391406014465,2014-09-15 14:54:06 +0000,I_yler,RT @itsbecritchie: Don't believe what you read. @kanyewest isn't the douche they make him out to be. Seriously inspiring concert in Brisbane.  #fuckthemedia
511525890820698113,2014-09-15 14:44:10 +0000,NotTheLysander,"Any time I hear someone hating on @kanyewest because he douche, I listen to his music because it's amazing. #808sAndHeartbreakTotsUnderrated"
511525764672393217,2014-09-15 14:43:40 +0000,blkvxn,I love @kanyewest and his douche attitude but what he did in that concert is baffling. Like ok take a couple of seats pls. 💅💅
511524914097324033,2014-09-15 14:40:17 +0000,Asian_Darkness,@kanyewest i kno tis wheelchair thing is a media beat up but tis is ridiculous. Talented egotistic douche! #kanyewest
511524155880386560,2014-09-15 14:37:17 +0000,furgersen7,"@kanyewest Social cogs, and believe that #Yeezy is that much of a douche bag..."
511522340162002944,2014-09-15 14:30:04 +0000,bodungirl,RT @itsbecritchie: Don't believe what you read. @kanyewest isn't the douche they make him out to be. Seriously inspiring concert in Brisbane.  #fuckthemedia
511521508062412800,2014-09-15 14:26:45 +0000,MrMikeB469,Well @KimKardashian how does it feel to be married to a douche bag?! @kanyewest
511521427078791168,2014-09-15 14:26:26 +0000,kelsbrunson,@ZHotchkiss39 @TheInsider @kanyewest Hahahahahahaha he is such a douche
511521038967263233,2014-09-15 14:24:53 +0000,freddief5,RT @itsbecritchie: Don't believe what you read. @kanyewest isn't the douche they make him out to be. Seriously inspiring concert in Brisbane.  #fuckthemedia
511520646233591808,2014-09-15 14:23:20 +0000,rayray1905,"@kanyewest Stops Concert to Yell at Kid in Wheelchair, 'Stand Up!' http://t.co/SwQA1yCaOQ FYI ur just a man who can rap. Fuck off. #douche"
511519203036504064,2014-09-15 14:17:36 +0000,StraightEdgeYe,RT @itsbecritchie: Don't believe what you read. @kanyewest isn't the douche they make him out to be. Seriously inspiring concert in Brisbane.  #fuckthemedia
511518587580723200,2014-09-15 14:15:09 +0000,itsbecritchie,Don't believe what you read. @kanyewest isn't the douche they make him out to be. Seriously inspiring concert in Brisbane.  #fuckthemedia
511518060122226688,2014-09-15 14:13:03 +0000,MrReitz,RT @AniMiaOfficial: Further proof @kanyewest is a PoS. Makes me want to go to his concert and sit the whole time. What a cocky douche. http://t.co/rqoF5JDjhW
511517800293093377,2014-09-15 14:12:01 +0000,usfmtnman,"@kanyewest is a giant douche. Watch him bully 2 disabled people. @KimKardashian must be proud. 

http://t.co/CuH0ugezH1"
511514012157509632,2014-09-15 13:56:58 +0000,BenjaminOscar77,@AniMiaOfficial @kanyewest he honestly would rather have everyone kneel before him. XP Douche Toaster!
511513378255568896,2014-09-15 13:54:27 +0000,CrucialPaul,@Cali4niaDreams @kanyewest Kanye is the biggest dick in the world. He doesn't deserve to have a career. #douche
511513035383779328,2014-09-15 13:53:05 +0000,AniMiaOfficial,Further proof @kanyewest is a PoS. Makes me want to go to his concert and sit the whole time. What a cocky douche. http://t.co/rqoF5JDjhW
511511454168932352,2014-09-15 13:46:48 +0000,valthygal,@WellsAdams @kanyewest what a douche bag!
511510270322028545,2014-09-15 13:42:06 +0000,Sheldonrs,@kanyewest Douche bag.
511506662411489280,2014-09-15 13:27:46 +0000,thar_remedy,"RT @SumchenkoAnna: Every time you think @kanyewest has hit peak douche, he finds a new level... #KanyeWest #KanyeWestIsADouche #YEEZUS"
511506562498572288,2014-09-15 13:27:22 +0000,Sheldonrs,"@kanyewest They paid for tix.  I don't care if all of them can run a 3 min. mile. Shut the fuck up and sing while they sit, douche bag."
511506290934165506,2014-09-15 13:26:17 +0000,tarapriske,"@kanyewest you are by far the most public douche bag celebrity! Who cares if people aren't standing to your concert, but to call out people"
511504461681160192,2014-09-15 13:19:01 +0000,MyLeftLabia,RT @andrealaign: @JimfromRaleigh @kanyewest is such a douche (long before this repugnant scene)
511503700209467392,2014-09-15 13:16:00 +0000,RexPeretz,"RT @AliceOfLaLaLand: Biggest douche ever ""RT @Newsday @KanyeWest refuses to sing, demands disabled fans stand up at concert in Australia http://t.co/9xYHMd37i4"""
511502554292051968,2014-09-15 13:11:26 +0000,mharvey816,"RT @AliceOfLaLaLand: Biggest douche ever ""RT @Newsday @KanyeWest refuses to sing, demands disabled fans stand up at concert in Australia http://t.co/9xYHMd37i4"""
511501939847491584,2014-09-15 13:09:00 +0000,RayneMillaray,"RT @AliceOfLaLaLand: Biggest douche ever ""RT @Newsday @KanyeWest refuses to sing, demands disabled fans stand up at concert in Australia http://t.co/9xYHMd37i4"""
511500767203573761,2014-09-15 13:04:20 +0000,Mayra02878,@kanyewest : Wow what a asshole !!! Douche ur not god so stop acting like it!!! http://t.co/jS1QHpvkps
511499690228338688,2014-09-15 13:00:04 +0000,MattMaloneMD,"Wow @kanyewest got an entire arena to jeer at two people in wheelchairs because they ""wouldn't"" stand up! & he didn't apologise! #Douche"
511495141962821632,2014-09-15 12:41:59 +0000,Mandi_Galae,@kanyewest 1st: your fans are the only reason your ass has money 2nd: for you to act like a douche at a concert-you ain't jesus they paid
511494227155755009,2014-09-15 12:38:21 +0000,JimfromRaleigh,RT @andrealaign: @JimfromRaleigh @kanyewest is such a douche (long before this repugnant scene)
511493713571614720,2014-09-15 12:36:19 +0000,andrealaign,@JimfromRaleigh @kanyewest is such a douche (long before this repugnant scene)
511489931538341888,2014-09-15 12:21:17 +0000,SumchenkoAnna,"Every time you think @kanyewest has hit peak douche, he finds a new level... #KanyeWest #KanyeWestIsADouche #YEEZUS"
511484131415322624,2014-09-15 11:58:14 +0000,MsForgiven83,@Kanyewest in case someone in the world DIDN'T think you were a douche you just confirm it... http://t.co/QO7SUT5vci via @marlownyc
511472825736376320,2014-09-15 11:13:19 +0000,EclecticHectic,@kanyewest is a total douche. http://t.co/p3xwhL8MWL http://t.co/ZEuBwbBsms
511466991870545920,2014-09-15 10:50:08 +0000,JtBiGgAFigGa15,RT @PeteScobell: @kanyewest - do you have a coach who has you practice being a douche bag or is that just God given talent we all see?
511466884735434752,2014-09-15 10:49:42 +0000,jenndwyer3,@thetoddshow @kanyewest How does he still have fans?! #douche
511443510495416321,2014-09-15 09:16:49 +0000,BreeanaPaisley,"@Mix1023 @kanyewest needs to be brought down a peg or five!! Maybe. While he's at it, deflate the VERY misplaced ego! #douche #shutup IDIOT!"
511442244814241792,2014-09-15 09:11:47 +0000,Eamon_Fire,"@TiffanyBarb Don't call @kanyewest a douche, douches have a use."
511438455276965889,2014-09-15 08:56:44 +0000,BreeanaPaisley,"@kanyewest How about YOU try this: Humility is not thinking less of yourself, but thinking of yourself less.” #arrogant #douche #asshole 👎👎👎"
511435628740087808,2014-09-15 08:45:30 +0000,cpbacon535111,@kanyewest  shut up u pretentious douche bag
511433745229180928,2014-09-15 08:38:01 +0000,tatty007,@OK_Magazine @kanyewest massive douche! Why do people keep buying tickets to see his nonsense
511432997849952256,2014-09-15 08:35:03 +0000,nerdyJJM,@kanyewest asking people to verify their disability? You're such an arrogant douche! South Park got it right. #fishsticks
511427086720831488,2014-09-15 08:11:34 +0000,leenasam31,RT @PurpleNaNo: Wow @kanyewest this is a new level of douche! Kanye West Humiliates 2 Handicapped Fans by Insisting They Stand Up: http://t.co/yfJAxrtwTk
511413552091897856,2014-09-15 07:17:47 +0000,ozijules,"@kanyewest is such a tool and douche. Please don't ever come back to Australia, although I doubt your ego will fit through the front door!!"
511409896906948608,2014-09-15 07:03:15 +0000,Cwhite68,@kanyewest You're just a simple low class douche
511400462998708224,2014-09-15 06:25:46 +0000,HoneyySmokeLOUD,"“@fox5newsdc: .@kanyewest stops concert to yell at kid in wheelchair, ‘Stand Up!’ http://t.co/2YNRibjDqH http://t.co/uOgPymtztv” douche 😪"
511397995271979008,2014-09-15 06:15:58 +0000,LarryTIII,@kanyewest  has any one told you you're a douche bag today? you probably gobble up fish sticks by the handful. #thisguysagayfish
511391637801799680,2014-09-15 05:50:42 +0000,mohiclaire,"""@HuffPostLA: Kanye West demands fan in wheelchair stand up http://t.co/se66hQB7l6""

I demand @kanyewest STFU. #douche"
